"","Var1","Freq","freq","ethnicity"
"1","0",2378,0.476744186046512,"A"
"2","1",54,0.0108259823576584,"A"
"3","2",49,0.00982357658380112,"A"
"4","3",13,0.00260625501202887,"A"
"5","4",52,0.0104250200481155,"A"
"6","5",76,0.0152365677626303,"A"
"7","6",952,0.190858059342422,"A"
"8","7",39,0.00781876503608661,"A"
"9","8",111,0.0222534081796311,"A"
"10","9",113,0.022654370489174,"A"
"11","10",37,0.0074178027265437,"A"
"12","11",32,0.00641539695268645,"A"
"13","12",155,0.031074578989575,"A"
"14","13",21,0.00421010425020048,"A"
"15","14",160,0.0320769847634322,"A"
"16","15",98,0.0196471531676022,"A"
"17","16",29,0.00581395348837209,"A"
"18","17",38,0.00761828388131516,"A"
"19","18",48,0.00962309542902967,"A"
"20","19",191,0.0382919005613472,"A"
"21","20",29,0.00581395348837209,"A"
"22","21",20,0.00400962309542903,"A"
"23","22",43,0.00862068965517241,"A"
"24","23",31,0.006214915797915,"A"
"25","24",710,0.142341619887731,"A"
"26","25",80,0.0160384923817161,"A"
"27","26",52,0.0104250200481155,"A"
"28","27",197,0.0394947874899759,"A"
"29","28",106,0.0212510024057739,"A"
"30","29",21,0.00421010425020048,"A"
"31","30",48,0.00962309542902967,"A"
"32","31",30,0.00601443464314354,"A"
"33","32",96,0.0192461908580593,"A"
"34","33",92,0.0184442662389735,"A"
"35","34",48,0.00962309542902967,"A"
"36","35",73,0.014635124298316,"A"
"37","36",73,0.014635124298316,"A"
"38","37",128,0.0256615878107458,"A"
"39","38",27,0.00541299117882919,"A"
"40","39",54,0.0108259823576584,"A"
"41","40",25,0.00501202886928629,"A"
"42","41",46,0.00922213311948677,"A"
"43","42",44,0.00882117080994387,"A"
"44","43",79,0.0158380112269447,"A"
"45","44",55,0.0110264635124298,"A"
"46","45",70,0.0140336808340016,"A"
"47","46",69,0.0138331996792302,"A"
"48","0",1219,0.479355092410539,"B"
"49","1",19,0.00747149036570979,"B"
"50","2",24,0.00943767204089658,"B"
"51","3",7,0.0027526543452615,"B"
"52","4",38,0.0149429807314196,"B"
"53","5",37,0.0145497443963822,"B"
"54","6",474,0.186394022807707,"B"
"55","7",22,0.00865119937082186,"B"
"56","8",65,0.0255603617774282,"B"
"57","9",72,0.0283130161226897,"B"
"58","10",26,0.0102241447109713,"B"
"59","11",13,0.00511207235548565,"B"
"60","12",68,0.0267400707825403,"B"
"61","13",11,0.00432559968541093,"B"
"62","14",85,0.0334250884781754,"B"
"63","15",48,0.0188753440817932,"B"
"64","16",11,0.00432559968541093,"B"
"65","17",19,0.00747149036570979,"B"
"66","18",20,0.00786472670074715,"B"
"67","19",93,0.0365709791584742,"B"
"68","20",43,0.0169091624066064,"B"
"69","21",5,0.00196618167518679,"B"
"70","22",12,0.00471883602044829,"B"
"71","23",18,0.00707825403067243,"B"
"72","24",416,0.163586315375541,"B"
"73","25",41,0.0161226897365317,"B"
"74","26",30,0.0117970900511207,"B"
"75","27",69,0.0271333071175777,"B"
"76","28",51,0.0200550530869052,"B"
"77","29",11,0.00432559968541093,"B"
"78","30",27,0.0106173810460087,"B"
"79","31",18,0.00707825403067243,"B"
"80","32",23,0.00904443570585922,"B"
"81","33",52,0.0204482894219426,"B"
"82","34",23,0.00904443570585922,"B"
"83","35",23,0.00904443570585922,"B"
"84","36",25,0.00983090837593394,"B"
"85","37",73,0.0287062524577271,"B"
"86","38",16,0.00629178136059772,"B"
"87","39",16,0.00629178136059772,"B"
"88","40",19,0.00747149036570979,"B"
"89","41",43,0.0169091624066064,"B"
"90","42",17,0.00668501769563508,"B"
"91","43",61,0.0239874164372788,"B"
"92","44",40,0.0157294534014943,"B"
"93","45",26,0.0102241447109713,"B"
"94","46",36,0.0141565080613449,"B"
"95","0",1179,0.477521263669502,"C"
"96","1",20,0.00810044552450385,"C"
"97","2",29,0.0117456460105306,"C"
"98","3",5,0.00202511138112596,"C"
"99","4",29,0.0117456460105306,"C"
"100","5",49,0.0198460915350344,"C"
"101","6",480,0.194410692588092,"C"
"102","7",22,0.00891049007695423,"C"
"103","8",68,0.0275415147833131,"C"
"104","9",65,0.0263264479546375,"C"
"105","10",47,0.019036046982584,"C"
"106","11",17,0.00688537869582827,"C"
"107","12",72,0.0291616038882139,"C"
"108","13",12,0.00486026731470231,"C"
"109","14",70,0.0283515593357635,"C"
"110","15",68,0.0275415147833131,"C"
"111","16",16,0.00648035641960308,"C"
"112","17",32,0.0129607128392062,"C"
"113","18",23,0.00931551235317942,"C"
"114","19",94,0.0380720939651681,"C"
"115","20",13,0.0052652895909275,"C"
"116","21",13,0.0052652895909275,"C"
"117","22",15,0.00607533414337789,"C"
"118","23",13,0.0052652895909275,"C"
"119","24",356,0.144187930336169,"C"
"120","25",43,0.0174159578776833,"C"
"121","26",24,0.00972053462940462,"C"
"122","27",92,0.0372620494127177,"C"
"123","28",53,0.0214661806399352,"C"
"124","29",15,0.00607533414337789,"C"
"125","30",21,0.00850546780072904,"C"
"126","31",11,0.00445524503847712,"C"
"127","32",20,0.00810044552450385,"C"
"128","33",45,0.0182260024301337,"C"
"129","34",17,0.00688537869582827,"C"
"130","35",26,0.010530579181855,"C"
"131","36",21,0.00850546780072904,"C"
"132","37",73,0.029566626164439,"C"
"133","38",23,0.00931551235317942,"C"
"134","39",40,0.0162008910490077,"C"
"135","40",13,0.0052652895909275,"C"
"136","41",30,0.0121506682867558,"C"
"137","42",17,0.00688537869582827,"C"
"138","43",38,0.0153908464965573,"C"
"139","44",25,0.0101255569056298,"C"
"140","45",32,0.0129607128392062,"C"
"141","46",34,0.0137707573916565,"C"
